Event_Name,Event_Client_Id,Venue_Name,Event_Date,Event_Time,as_of_date,unique_views,order_qty,tkt_qty
Canucks vs. Oilers,11005D05E89152CB,Rogers Arena,2023-01-21,19:00,2022-12-07,626,18,48
Canucks vs. Blackhawks,11005D05E8BE532E,Rogers Arena,2023-04-06,19:00,2023-02-15,114,5,23
Canucks vs. Wild,11005EDDB64B3182,Rogers Arena,2023-12-07,19:00,2023-12-06,2469,21,41
Canucks vs. Coyotes,11005723A104316F,Rogers Arena,2020-01-16,19:00,2019-11-05,94,5,20
Canucks vs. Sharks,11005724C2C437A5,Rogers Arena,2020-01-18,19:00,2019-11-17,136,6,27
Canucks vs. Leafs,11005724CCF33B08,Rogers Arena,2019-12-10,19:00,2019-10-31,153,3,6
Canucks vs. Penguins,11005EDDB5F9307D,Rogers Arena,2024-02-27,19:00,2023-09-13,56,3,7
Canucks vs. Blue Jackets,11005EDDB5EE305A,Rogers Arena,2024-01-27,19:00,2023-12-07,276,3,9
Canucks vs. Blackhawks,1100572383FE1F3F,Rogers Arena,2020-01-02,19:00,2019-11-03,181,5,13
Canucks vs. Penguins,11005D05E8D15349,Rogers Arena,2022-10-28,19:00,2022-09-26,380,8,19
Canucks vs. Hurricanes,11005EDDB64E3189,Rogers Arena,2023-12-09,19:00,2023-11-23,423,5,17
Canucks vs. Hurricanes,11005723A13C322A,Rogers Arena,2019-12-12,19:00,2019-10-18,71,3,7
Canucks vs. Flames,11005B3CECD52C7F,Rogers Arena,2022-02-24,19:00,2021-11-28,81,4,7
Canucks vs. Lightning,11005723A11C31CD,Rogers Arena,2022-03-11,19:00,2019-12-17,48,2,10
Canucks vs. Coyotes,11005D05E8C9533A,Rogers Arena,2022-10-07,19:00,2022-09-17,225,8,24
Canucks vs. Ducks,1100572384171F50,Rogers Arena,2022-03-15,19:00,2019-12-04,51,2,11
Canucks vs. Canadiens,11005EDDB60A30A4,Rogers Arena,2024-03-21,19:00,2023-10-05,57,3,6
Canucks vs. Capitals,11005D05E8E1537C,Rogers Arena,2022-11-29,19:00,2022-11-16,341,6,21
Canucks vs. Seattle Kraken,11005D05E8F553A7,Rogers Arena,2022-12-22,19:00,2022-11-07,257,8,24
Canucks vs. Kings,11005B3CECFD2D76,Rogers Arena,2022-04-28,19:00,2022-04-13,453,13,37
Canucks vs. Senators,11005B95FC1B40F9,Rogers Arena,2022-04-19,19:00,2022-04-13,699,9,27
Canucks vs. Kings,1100572384211F56,Rogers Arena,2019-10-09,19:00,2019-10-07,2056,93,206
Canucks vs. Oilers,110056FDD5A83CC4,Rogers Arena,2019-09-17,19:00,2019-08-01,435,15,33
Canucks vs. Kings,1100572384211F56,Rogers Arena,2019-10-09,19:00,2019-09-24,376,16,41
Canucks vs. Ducks,11005EDDB643315F,Rogers Arena,2023-11-28,19:00,2023-11-09,575,14,48
Canucks vs. Flyers,11005D05E89D52EF,Rogers Arena,2023-02-18,19:00,2022-08-30,160,14,27
Canucks vs. Coyotes,110056FDD5B33CCE,Rogers Arena,2019-09-26,19:00,2019-09-15,141,3,9
Canucks vs. Sharks,11005D05E8B4531A,Rogers Arena,2023-03-23,19:00,2022-08-31,54,4,13
Canucks vs. Blues,11005723A12C320A,Rogers Arena,2019-11-05,19:00,2019-09-21,57,3,6
Canucks vs. Islanders,11005D05E88352B7,Rogers Arena,2023-01-03,19:00,2022-10-14,58,2,13
Canucks vs. Blues,11005EDDB62C311F,Rogers Arena,2023-10-27,19:00,2023-09-21,127,2,3
Canucks vs. Jets,11005EDDB5F43070,Rogers Arena,2024-02-17,19:00,2023-09-27,56,2,5
Canucks vs. Devils,11005B3CECDF2D4E,Rogers Arena,2022-03-15,19:00,2022-01-06,20,2,5
Canucks vs. Capitals,11005D05E8E1537C,Rogers Arena,2022-11-29,19:00,2022-11-20,406,2,5
Canucks vs. Bruins,11005724CCEE3B00,Rogers Arena,2020-02-22,19:00,2019-10-16,82,2,6
Canucks vs. Devils,11005EDDB649316B,Rogers Arena,2023-12-05,19:00,2023-09-10,33,2,6
Canucks vs. Sabres,11005B3CECE72D60,Rogers Arena,2022-03-20,19:00,2021-10-28,48,2,4
Canucks vs. Wings,11005B3CECE12D5C,Rogers Arena,2022-03-17,19:00,2021-11-17,42,2,4
Canucks vs. Vegas Golden Knights,11005723841C1F52,Rogers Arena,2022-03-16,19:00,2020-01-25,124,2,4
Canucks vs. Lightning,11005EDDB651318C,Rogers Arena,2023-12-12,19:00,2023-10-08,41,1,2
Canucks vs. Flames,11005EDDB61D30E0,Rogers Arena,2024-04-16,19:00,2023-11-09,60,1,2
Canucks vs. Stars,11005EDDB6353133,Rogers Arena,2023-11-04,19:00,2023-09-22,90,1,2
Canucks vs. Blackhawks,11005D05E8BE532E,Rogers Arena,2023-04-06,19:00,2022-11-24,21,1,2
Canucks vs. Lightning,11005D05E88B52BE,Rogers Arena,2023-01-18,19:00,2022-10-11,40,1,2
Canucks vs. Panthers,11005D05E8E45380,Rogers Arena,2022-12-01,19:00,2022-11-13,264,1,2
Canucks vs. Sharks,11005B3CECF02D66,Rogers Arena,2022-04-09,19:00,2021-12-19,21,1,2
Canucks vs. Lightning,11005723A11C31CD,Rogers Arena,2022-03-11,19:00,2019-12-10,62,1,2
Canucks vs. Capitals,11005B3CECDA2D0F,Rogers Arena,2022-03-11,19:00,2021-10-09,66,1,2
Canucks vs. Predators,1100572384031F43,Rogers Arena,2020-02-10,19:00,2019-09-23,26,1,2
Canucks vs. Kings,1100552677662EAC,Rogers Arena,2019-03-28,19:00,2019-01-19,35,1,2
Canucks vs. Devils,1100552676832A0F,Rogers Arena,2019-03-15,19:00,2019-02-01,55,1,2
Canucks vs. Flyers,11005EDDB65E319B,Rogers Arena,2023-12-28,19:00,2023-08-28,28,1,3
Canucks vs. Panthers,11005D05E8E45380,Rogers Arena,2022-12-01,19:00,2022-10-15,78,1,4
Canucks vs. Vegas Golden Knights,11005723841C1F52,Rogers Arena,2022-03-16,19:00,2020-01-15,91,1,4
Canucks vs. Wings,11005D05E89952E7,Rogers Arena,2023-02-13,19:00,2022-09-07,30,1,4
Canucks vs. Canadiens,11005EDDB60A30A4,Rogers Arena,2024-03-21,19:00,2023-12-21,209,1,1
Canucks vs. Devils,11005B3CECDF2D4E,Rogers Arena,2022-03-15,19:00,2021-12-08,34,1,1
Canucks vs. Senators,11005B95FC1B40F9,Rogers Arena,2022-04-19,19:00,2022-01-25,59,1,6
Canucks vs. Oilers,11005EDDB62030E5,Rogers Arena,2023-09-30,18:00,2023-09-26,892,10,20
Canucks vs. Canadiens,11005D05E8E95390,Rogers Arena,2022-12-05,19:30,2022-11-23,604,3,15
Canucks vs. Canadiens,11005B3CECD72C81,Rogers Arena,2022-03-09,19:30,2021-12-05,115,1,2
Canucks vs. Blackhawks,11005724CCE93AFC,Rogers Arena,2020-02-12,19:30,2020-01-02,292,1,2
Canucks vs. Ducks,1100572384081F45,Rogers Arena,2020-02-16,14:00,2019-12-08,117,1,2
Canucks vs. Vegas Golden Knights,11005D05E8DE5377,Rogers Arena,2022-11-21,19:30,2022-12-24,1,0,0
Canucks vs. Stars,11005B3CECF82D6E,Rogers Arena,2022-04-18,19:30,2021-12-17,17,0,0
Canucks vs. Wild,11005723A10D3177,Rogers Arena,2020-02-19,19:30,2020-01-16,140,0,0
Canucks vs. Leafs,11005D05E8A552FD,Rogers Arena,2023-03-04,16:00,2022-10-07,151,0,0
Canucks vs. Leafs,11005D05E8A552FD,Rogers Arena,2023-03-04,16:00,2023-02-23,704,0,0
Canucks vs. Vegas Golden Knights,11005B3CECED2D64,Rogers Arena,2022-04-03,16:00,2022-04-15,2,0,0
Canucks vs. Ducks,11005EDDB61530D3,Rogers Arena,2024-03-31,12:30,2024-04-19,8,0,0
Canucks vs. Kings,11005D05E8B95325,Rogers Arena,2023-04-02,17:00,2023-01-07,70,0,0
Canucks vs. Oilers,11005EDDB62030E5,Rogers Arena,2023-09-30,18:00,2023-10-21,8,0,0
Canucks vs. Hurricanes,11005D05E8CE5342,Rogers Arena,2022-10-24,19:30,2022-12-08,0,0,0
Canucks vs. Vegas Golden Knights,11005EDDB61830D9,Rogers Arena,2024-04-08,19:00,2023-08-16,5,0,0
Canucks vs. Oilers,11005EDDB6383138,Rogers Arena,2023-11-06,19:00,2023-11-27,5,0,0
Canucks vs. Vegas Golden Knights,11005EDDB61830D9,Rogers Arena,2024-04-08,19:00,2023-08-30,10,0,0
Canucks vs. Ducks,1100552677602EA6,Rogers Arena,2019-03-26,19:00,2018-12-13,12,0,0
Canucks vs. Oilers,11005724C2E037CA,Rogers Arena,2019-12-23,19:00,2019-12-24,12,0,0
Canucks vs. Jets,11005EDDB5F43070,Rogers Arena,2024-02-17,19:00,2024-03-11,9,0,0
Canucks vs. Blue Jackets,11005D05E89652DD,Rogers Arena,2023-01-27,19:00,2022-10-06,22,0,0
Canucks vs. Rangers,11005B3CED0E2D86,Rogers Arena,2021-11-02,19:00,2021-10-03,32,0,0
Canucks vs. Wings,11005723A12431EC,Rogers Arena,2019-10-15,19:00,2019-10-16,25,0,0
Canucks vs. Devils,1100552676832A0F,Rogers Arena,2019-03-15,19:00,2019-01-25,37,0,0
Canucks vs. Stars,11005EDDB61230D0,Rogers Arena,2024-03-28,19:00,2023-10-19,35,0,0
Canucks vs. Panthers,11005EDDB6553192,Rogers Arena,2023-12-14,19:00,2023-07-21,48,0,0
Cancelled ticket due to 50% capacity Canucks vs Blues,11005B3CECD02C79,Rogers Arena,2022-01-23,19:00,2021-12-31,41,0,0
Canucks vs. Blue Jackets,11005D05E89652DD,Rogers Arena,2023-01-27,19:00,2022-11-15,54,0,0
Canucks vs. Blackhawks,11005EDDB5E93019,Rogers Arena,2024-01-22,19:00,2023-10-18,237,0,0
Cancelled ticket due to 50% capacity Canucks vs Blues,11005B3CECD02C79,Rogers Arena,2022-01-23,19:00,2022-01-10,115,0,0
Canucks vs. Senators,11005D05E8AC530E,Rogers Arena,2023-03-11,19:00,2022-09-14,36,0,0
Canucks vs. Seattle Kraken,11005D05E8BB5329,Rogers Arena,2023-04-04,19:00,2023-02-10,69,0,0
Canucks vs. Sharks,11005526768F2A33,Rogers Arena,2019-04-02,19:00,2018-11-20,23,0,0
Canucks vs. Sharks,11005D05E8B4531A,Rogers Arena,2023-03-23,19:00,2022-10-17,14,0,0
Canucks vs. Sharks,11005D05E8B4531A,Rogers Arena,2023-03-23,19:00,2022-09-20,14,0,0
Canucks vs. Flames,11005B3CECD52C7F,Rogers Arena,2022-02-24,19:00,2022-03-10,7,0,0
Canucks vs. Flames,11005EDDB60D30B2,Rogers Arena,2024-03-23,19:00,2024-02-21,295,0,0
Canucks vs. Flames,11005EDDB61D30E0,Rogers Arena,2024-04-16,19:00,2023-08-10,16,0,0
Canucks vs. Lightning,11005723A11C31CD,Rogers Arena,2022-03-11,19:00,2020-04-23,4,0,0
Canucks vs. Wings,11005B3CECE12D5C,Rogers Arena,2022-03-17,19:00,2021-10-02,3,0,0
Canucks vs. Devils,11005EDDB649316B,Rogers Arena,2023-12-05,19:00,2023-12-22,2,0,0
Canucks vs. Seattle Kraken,11005B9122B46B80,Rogers Arena,2022-02-21,19:00,2022-03-26,2,0,0
Canucks vs. Ducks,11005D05E8D65350,Rogers Arena,2022-11-03,19:00,2022-12-02,2,0,0
Canucks vs. Ducks,11005EDDB643315F,Rogers Arena,2023-11-28,19:00,2023-12-31,1,0,0
Canucks vs. Oilers,110056FDD5A83CC4,Rogers Arena,2019-09-17,19:00,2019-10-09,1,0,0
Canucks vs. Blues,11005EDDB62C311F,Rogers Arena,2023-10-27,19:00,2023-11-26,1,0,0
Canucks vs. Predators,11005D05E8D95352,Rogers Arena,2022-11-05,19:00,2022-12-03,1,0,0
Canucks vs. Blackhawks,11005D05E8BE532E,Rogers Arena,2023-04-06,19:00,2023-05-05,1,0,0
Canucks vs. Jets,11005B3CED272DA1,Rogers Arena,2021-12-10,19:00,2021-12-31,1,0,0
TBD at Vancouver Canucks Round 2 Home Game 4,1100587367BB0D4E,Rogers Arena,2020-05-17,19:00,2020-05-19,1,0,0
Canucks vs. Blues,11005EDDB62C311F,Rogers Arena,2023-10-27,19:00,2024-01-03,0,0,0
Canucks vs. Penguins,11005D05E8D15349,Rogers Arena,2022-10-28,19:00,2023-04-17,0,0,0
Canucks vs. Seattle Kraken,11005D05E8BB5329,Rogers Arena,2023-04-04,19:00,2023-07-14,0,0,0
Canucks vs. Coyotes,11005D05E8C9533A,Rogers Arena,2022-10-07,19:00,2022-11-27,0,0,0
Canucks vs. Flames,11005EDDB6273103,Rogers Arena,2023-10-06,19:00,2023-12-05,0,0,0
Canucks vs. Coyotes,11005EDDB61B30DB,Rogers Arena,2024-04-10,19:00,2023-09-14,7,0,0
Canucks vs. Coyotes,11005EDDB61B30DB,Rogers Arena,2024-04-10,19:00,2023-08-06,6,0,0
Canucks vs. Coyotes,11005EDDB61B30DB,Rogers Arena,2024-04-10,19:00,2023-12-27,86,0,0
Canucks vs. Stars,11005EDDB61230D0,Rogers Arena,2024-03-28,19:00,2024-02-27,222,1,2
Canucks vs. Capitals,11005EDDB6053099,Rogers Arena,2024-03-16,19:00,2024-03-14,1082,3,7
Canucks vs. Bruins,11005EDDB5F63078,Rogers Arena,2024-02-24,16:00,2024-02-13,430,0,0
Canucks vs. Vegas Golden Knights,11005EDDB61830D9,Rogers Arena,2024-04-08,19:00,2023-12-14,71,2,9
Canucks vs. Blackhawks,11005EDDB5E93019,Rogers Arena,2024-01-22,19:00,2024-01-13,645,0,0
Canucks vs. Vegas Golden Knights,11005EDDB61830D9,Rogers Arena,2024-04-08,19:00,2024-04-02,194,0,0
Canucks vs. Coyotes,11005EDDB61B30DB,Rogers Arena,2024-04-10,19:30,2024-03-27,349,2,6
Canucks vs. Canadiens,11005EDDB60A30A4,Rogers Arena,2024-03-21,19:00,2024-02-12,177,0,0
Canucks vs. Predators,1100572384031F43,Rogers Arena,2020-02-10,19:00,2019-09-14,44,4,11
Canucks vs. Rangers,11005B3CED0E2D86,Rogers Arena,2021-11-02,19:00,2021-10-21,282,10,32
Canucks vs. Coyotes,11005723A104316F,Rogers Arena,2020-01-16,19:00,2020-01-03,448,30,72
Canucks vs. Rangers,11005526774D2CD6,Rogers Arena,2019-03-13,19:00,2018-09-19,71,3,6
Canucks vs. Stars,11005723A1383227,Rogers Arena,2019-11-14,19:00,2019-11-03,281,17,49
Canucks vs. Jets,11005D05E8EE53A3,Rogers Arena,2022-12-17,19:00,2022-12-08,596,6,24
Canucks vs Kraken Moving to 50 percent capacity-Updates in progress,11005B3CED392DB1,Rogers Arena,2021-12-27,19:00,2021-10-30,246,6,20
Canucks vs. Senators,1100572383F51F36,Rogers Arena,2019-12-03,19:00,2019-11-25,220,10,29
Canucks vs. Vegas Golden Knights,11005723A141322D,Rogers Arena,2019-12-19,19:00,2019-11-02,154,4,10
Canucks vs. Blues,11005EDDB5EB3038,Rogers Arena,2024-01-24,19:00,2023-12-23,413,6,12
Canucks vs. Wings,11005723A12431EC,Rogers Arena,2019-10-15,19:00,2019-10-01,197,4,9
Canucks vs. Penguins,11005EDDB5F9307D,Rogers Arena,2024-02-27,19:00,2023-10-27,102,4,12
Canucks vs. Canadiens,11005724C2DB37C6,Rogers Arena,2019-12-17,19:00,2019-11-16,170,4,9
Canucks vs. Sabres,11005D05E8CB533C,Rogers Arena,2022-10-22,19:00,2022-09-01,338,14,42
Cancelled ticket due to 50% capacity Canucks vs Oilers,11005B3CECD22C7D,Rogers Arena,2022-01-25,19:00,2021-10-08,112,4,8
Canucks vs. Wings,11005723A12431EC,Rogers Arena,2019-10-15,19:00,2019-09-20,112,5,13
Canucks vs. Coyotes,11005723A104316F,Rogers Arena,2020-01-16,19:00,2019-11-12,90,3,10
Canucks vs. Rangers,11005724C2BF37A3,Rogers Arena,2020-01-04,19:00,2019-09-23,62,3,5
Canucks vs. Blues,11005EDDB5EB3038,Rogers Arena,2024-01-24,19:00,2024-01-21,877,2,2
Canucks vs. Hurricanes,11005723A13C322A,Rogers Arena,2019-12-12,19:00,2019-11-15,152,5,16
Canucks vs. Lightning,11005B3CECDC2D18,Rogers Arena,2022-03-13,19:00,2022-02-10,107,6,18
Canucks vs. Devils,11005EDDB649316B,Rogers Arena,2023-12-05,19:00,2023-11-11,286,8,28
Canucks vs. Kings,11005D05E8DC5360,Rogers Arena,2022-11-18,19:00,2022-10-01,124,6,23
Canucks vs. Sharks,11005D05E8B4531A,Rogers Arena,2023-03-23,19:00,2022-08-30,39,3,6
Canucks vs. Hurricanes,11005723A13C322A,Rogers Arena,2019-12-12,19:00,2019-11-02,93,4,12
Canucks vs. Flames,1100552677CB31A6,Rogers Arena,2019-03-23,19:00,2019-01-16,89,3,8
Canucks vs. Lightning,11005D05E88B52BE,Rogers Arena,2023-01-18,19:00,2022-12-29,228,7,18
Canucks vs. Vegas Golden Knights,11005723A141322D,Rogers Arena,2019-12-19,19:00,2019-11-01,157,7,15
Canucks vs. Blackhawks,11005EDDB5E93019,Rogers Arena,2024-01-22,19:00,2023-08-04,48,2,3
Canucks vs. Senators,11005EDDB5DF2FF6,Rogers Arena,2024-01-02,19:00,2023-12-21,983,2,3
Canucks vs. Wild,11005EDDB64B3182,Rogers Arena,2023-12-07,19:00,2023-10-29,59,2,3
Canucks vs. Blues,11005723A1093175,Rogers Arena,2020-01-27,19:00,2019-09-29,25,2,3
Canucks vs. Seattle Kraken,11005B3CECFA2D71,Rogers Arena,2022-04-26,19:00,2022-02-12,44,2,7
Canucks vs. Wings,11005EDDB5F1305E,Rogers Arena,2024-02-15,19:00,2023-10-28,47,2,4
Canucks vs. Wild,11005EDDB64B3182,Rogers Arena,2023-12-07,19:00,2023-10-27,98,2,4
Canucks vs. Seattle Kraken,11005B3CECFA2D71,Rogers Arena,2022-04-26,19:00,2022-03-22,168,2,4
Canucks vs. Wings,11005B3CECE12D5C,Rogers Arena,2022-03-17,19:00,2021-12-23,36,2,4
Canucks vs. Flames,11005D05E8C15331,Rogers Arena,2023-04-08,19:00,2022-12-01,71,2,4
Canucks vs. Blackhawks,11005D05E8BE532E,Rogers Arena,2023-04-06,19:00,2022-09-06,20,1,2
Canucks vs. Penguins,11005EDDB5F9307D,Rogers Arena,2024-02-27,19:00,2023-12-17,206,1,2
Canucks vs. Wings,11005D05E89952E7,Rogers Arena,2023-02-13,19:00,2022-11-08,54,1,2
Canucks vs. Capitals,11005B3CECDA2D0F,Rogers Arena,2022-03-11,19:00,2021-11-11,78,1,2
Canucks vs. Bruins,11005724CCEE3B00,Rogers Arena,2020-02-22,19:00,2019-11-01,93,1,2
Canucks vs. Devils,1100552676832A0F,Rogers Arena,2019-03-15,19:00,2018-10-30,13,1,2
Canucks vs. Sharks,11005D05E8B4531A,Rogers Arena,2023-03-23,19:00,2022-12-08,27,1,3
Canucks vs. Rangers,11005D05E89B52EC,Rogers Arena,2023-02-15,19:00,2022-11-30,67,1,3
Canucks vs. Capitals,11005B3CECDA2D0F,Rogers Arena,2022-03-11,19:00,2021-11-24,65,1,3
Canucks vs. Senators,1100552677532D9A,Rogers Arena,2019-03-20,19:00,2018-12-01,24,1,3
Canucks vs. Devils,1100552676832A0F,Rogers Arena,2019-03-15,19:00,2018-12-08,17,1,3
Canucks vs. Vegas Golden Knights,11005526781E320B,Rogers Arena,2019-03-09,19:00,2019-01-12,81,1,3
Canucks vs. Blackhawks,11005EDDB5E93019,Rogers Arena,2024-01-22,19:00,2023-12-24,658,1,4
Canucks vs. Blue Jackets,11005723A1143199,Rogers Arena,2020-03-08,19:00,2019-10-04,7,1,4
Canucks vs. Blackhawks,11005D05E8BE532E,Rogers Arena,2023-04-06,19:00,2022-12-16,24,1,4
Canucks vs. Flames,11005724C2CC37B1,Rogers Arena,2022-03-14,19:00,2019-10-09,25,1,4
Canucks vs. Wings,11005B3CECE12D5C,Rogers Arena,2022-03-17,19:00,2021-11-11,35,1,6
Canucks vs. Flames,11005D05E8C45333,Rogers Arena,2022-09-25,16:00,2022-09-09,357,13,32
Canucks vs. Leafs,11005EDDB5E63009,Rogers Arena,2024-01-20,16:00,2023-07-17,2022,171,449
Canucks vs. Vegas Golden Knights,11005D05E8DE5377,Rogers Arena,2022-11-21,19:30,2022-08-31,222,14,43
Canucks vs. Leafs,11005526781831FC,Rogers Arena,2019-03-06,18:00,2019-01-17,158,5,15
Canucks vs. Predators,11005D05E8A75307,Rogers Arena,2023-03-06,19:30,2023-02-28,524,3,11
Canucks vs. Blackhawks,11005724CCE93AFC,Rogers Arena,2020-02-12,19:30,2019-10-27,75,3,5
Canucks vs. Leafs,11005EDDB5E63009,Rogers Arena,2024-01-20,16:00,2023-08-05,109,2,4
Canucks vs. Kings,11005D05E8B95325,Rogers Arena,2023-04-02,17:00,2022-11-28,49,2,6
Canucks vs. Ducks,11005EDDB61530D3,Rogers Arena,2024-03-31,12:30,2024-02-02,231,1,5
Canucks vs. Avalanche,11005EDDB6023093,Rogers Arena,2024-03-13,19:30,2023-10-08,24,1,1
Canucks vs. Coyotes,11005EDDB61B30DB,Rogers Arena,2024-04-10,19:30,2023-10-11,30,1,2
Canucks vs. Coyotes,11005EDDB61B30DB,Rogers Arena,2024-04-10,19:30,2024-03-05,265,0,0
Canucks vs. Blues,11005D05E8F253A5,Rogers Arena,2022-12-19,19:30,2023-01-08,1,0,0
Canucks vs. Canadiens,11005D05E8E95390,Rogers Arena,2022-12-05,19:30,2022-12-16,2,0,0
Canucks vs. Blackhawks,11005724CCE93AFC,Rogers Arena,2020-02-12,19:30,2019-11-26,78,0,0
Canucks vs. Bruins,11005EDDB5F63078,Rogers Arena,2024-02-24,16:00,2024-03-15,4,0,0
Canucks vs. Leafs,11005C3BA8725CCA,Rogers Arena,2022-02-12,16:00,2022-03-09,1,0,0
Canucks vs. Leafs,11005526781831FC,Rogers Arena,2019-03-06,18:00,2018-09-13,69,0,0
Canucks vs. Seattle Kraken,11005D05E8C65335,Rogers Arena,2022-09-29,18:30,2022-10-18,1,0,0
Canucks vs. Seattle Kraken,11005D05E8C65335,Rogers Arena,2022-09-29,18:30,2022-12-01,0,0,0
Canucks vs. Seattle Kraken,11005D05E8C65335,Rogers Arena,2022-09-29,18:30,2023-03-27,0,0,0
Canucks vs. Jets,1100572384121F4E,Rogers Arena,2022-03-11,17:00,2020-03-15,0,0,0
Canucks vs. Blues,11005D05E8F253A5,Rogers Arena,2022-12-19,19:30,2023-01-20,0,0,0
Canucks vs. Senators,11005D05E8AC530E,Rogers Arena,2023-03-11,19:00,2023-04-03,5,0,0
Canucks vs. Oilers,11005B3CED0C2D83,Rogers Arena,2021-10-30,19:00,2021-11-11,5,0,0
Canucks vs. Stars,11005EDDB61230D0,Rogers Arena,2024-03-28,19:00,2023-08-24,10,0,0
Canucks vs. Avalanche,11005724C2D237B6,Rogers Arena,2019-11-16,19:00,2019-11-18,10,0,0
Canucks vs. Senators,11005D05E8AC530E,Rogers Arena,2023-03-11,19:00,2023-03-15,12,0,0
Canucks vs. Blackhawks,11005EDDB5E93019,Rogers Arena,2024-01-22,19:00,2024-01-30,14,0,0
Canucks vs. Coyotes,11005EDDB5E32FFD,Rogers Arena,2024-01-18,19:00,2023-09-11,28,0,0
Canucks vs. Senators,110056FDD5AF3CCA,Rogers Arena,2019-09-25,19:00,2019-08-13,22,0,0
Canucks vs. Jets,11005EDDB5FF308C,Rogers Arena,2024-03-09,19:00,2023-10-23,22,0,0
Canucks vs. Senators,11005D05E8AC530E,Rogers Arena,2023-03-11,19:00,2022-10-18,24,0,0
Canucks vs. Blackhawks,11005D05E8BE532E,Rogers Arena,2023-04-06,19:00,2022-10-26,27,0,0
Canucks vs. Rangers,11005D05E89B52EC,Rogers Arena,2023-02-15,19:00,2022-11-06,32,0,0
Canucks vs. Panthers,11005EDDB6553192,Rogers Arena,2023-12-14,19:00,2023-09-22,29,0,0
Canucks vs. Blue Jackets,11005723A1143199,Rogers Arena,2020-03-08,19:00,2019-11-01,29,0,0
Canucks vs. Avalanche,11005D05E88E52C2,Rogers Arena,2023-01-20,19:00,2022-09-21,39,0,0
Canucks vs. Lightning,11005D05E88B52BE,Rogers Arena,2023-01-18,19:00,2022-09-22,39,0,0
Canucks vs. Lightning,11005D05E88B52BE,Rogers Arena,2023-01-18,19:00,2022-10-04,36,0,0
Canucks vs. Kings,11005EDDB5FC3087,Rogers Arena,2024-02-29,19:00,2024-02-25,851,0,0
Canucks vs. Coyotes,11005EDDB5E32FFD,Rogers Arena,2024-01-18,19:00,2024-01-07,593,0,0
Canucks vs. Sharks,11005D05E8B4531A,Rogers Arena,2023-03-23,19:00,2022-12-15,21,0,0
Canucks vs. Flames,11005D05E8B6531F,Rogers Arena,2023-03-31,19:00,2022-11-04,53,0,0
Canucks vs. Flames,11005EDDB60D30B2,Rogers Arena,2024-03-23,19:00,2023-08-09,30,0,0
Canucks vs. Flames,11005EDDB61D30E0,Rogers Arena,2024-04-16,19:00,2023-09-10,11,0,0
Canucks vs. Canadiens,11005724C2DB37C6,Rogers Arena,2019-12-17,19:00,2020-01-03,2,0,0
Canucks vs. Senators,11005B95FC1B40F9,Rogers Arena,2022-04-19,19:00,2022-04-24,2,0,0
Canucks vs. Rangers,11005724C2BF37A3,Rogers Arena,2020-01-04,19:00,2020-01-20,2,0,0
Canucks vs. Flames,11005724C2CC37B1,Rogers Arena,2022-03-14,19:00,2020-04-13,1,0,0
Canucks vs. Flames,11005724C2C837A8,Rogers Arena,2020-02-08,19:00,2020-02-20,1,0,0
Canucks vs. Oilers,110056FDD5A83CC4,Rogers Arena,2019-09-17,19:00,2019-10-12,1,0,0
Canucks vs. Lightning,11005723A11C31CD,Rogers Arena,2022-03-11,19:00,2020-05-10,1,0,0
Canucks vs. Predators,11005B3CED112D88,Rogers Arena,2021-11-05,19:00,2021-11-22,1,0,0
Canucks vs. Sabres,11005B3CECE72D60,Rogers Arena,2022-03-20,19:00,2021-10-03,1,0,0
Canucks vs. Penguins,11005D05E8D15349,Rogers Arena,2022-10-28,19:00,2022-11-11,1,0,0
Canucks vs. Rangers,11005B3CED0E2D86,Rogers Arena,2021-11-02,19:00,2021-12-06,0,0,0
Canucks vs. Rangers,11005724C2BF37A3,Rogers Arena,2020-01-04,19:00,2020-01-24,0,0,0
Canucks vs. Blue Jackets,11005723A1143199,Rogers Arena,2020-03-08,19:00,2020-03-29,0,0,0
Canucks vs. Wings,11005EDDB5F1305E,Rogers Arena,2024-02-15,19:00,2024-04-30,0,0,0
Canucks vs. Stars,11005EDDB6353133,Rogers Arena,2023-11-04,19:00,2024-01-28,0,0,0
Canucks vs. Lightning,11005B3CECDC2D18,Rogers Arena,2022-03-13,19:00,2022-05-02,0,0,0
Canucks vs. Predators,1100572384031F43,Rogers Arena,2020-02-10,19:00,2020-02-29,0,0,0
Canucks vs. Seattle Kraken,11005B3CECFA2D71,Rogers Arena,2022-04-26,19:00,2022-05-25,0,0,0
Canucks vs. Kings,1100572384211F56,Rogers Arena,2019-10-09,19:00,2019-11-24,0,0,0
Canucks vs. Flames,11005EDDB60D30B2,Rogers Arena,2024-03-23,19:00,2024-05-03,0,0,0
Canucks vs. Flames,1100552677CB31A6,Rogers Arena,2019-03-23,19:00,2019-04-16,0,0,0
Canucks vs. Ducks,11005EDDB61530D3,Rogers Arena,2024-03-31,12:30,2024-05-07,0,0,0
Canucks vs. Coyotes,11005EDDB61B30DB,Rogers Arena,2024-04-10,19:00,2024-01-05,67,2,5
Canucks vs. Avalanche,11005EDDB6023093,Rogers Arena,2024-03-13,19:00,2023-10-24,42,2,4
Canucks vs. Vegas Golden Knights,11005EDDB61830D9,Rogers Arena,2024-04-08,19:00,2023-12-18,81,3,6
