Event_Name,Event_Client_Id,Venue_Name,Event_Date,Event_Time,as_of_date,unique_views,order_qty,tkt_qty
Canucks vs. Flyers,11005D05E89D52EF,Rogers Arena,2023-02-18,19:00,2023-03-08,2,0,0
Canucks vs. Blue Jackets,11005B3CED2C2DA9,Rogers Arena,2021-12-14,19:00,2022-01-03,2,0,0
Canucks vs. Seattle Kraken,11005D05E8F553A7,Rogers Arena,2022-12-22,19:00,2023-01-14,2,0,0
Canucks vs. Senators,11005B95FC1B40F9,Rogers Arena,2022-04-19,19:00,2022-05-09,2,0,0
Canucks vs. Kings,1100552677662EAC,Rogers Arena,2019-03-28,19:00,2019-04-14,1,0,0
Canucks vs. Blue Jackets,11005D05E89652DD,Rogers Arena,2023-01-27,19:00,2023-02-10,1,0,0
Canucks vs. Sabres,11005EDDB607309D,Rogers Arena,2024-03-19,19:00,2024-04-01,1,0,0
Canucks vs. Avalanche,11005723840D1F47,Rogers Arena,2020-03-06,19:00,2020-04-04,1,0,0
Canucks vs. Wings,11005B3CECE12D5C,Rogers Arena,2022-03-17,19:00,2022-08-20,0,0,0
Canucks vs. Panthers,11005EDDB6553192,Rogers Arena,2023-12-14,19:00,2024-02-06,0,0,0
Canucks vs. Panthers,11005EDDB6553192,Rogers Arena,2023-12-14,19:00,2024-01-21,0,0,0
Canucks vs. Blackhawks,11005D05E8BE532E,Rogers Arena,2023-04-06,19:00,2023-05-17,0,0,0
Canucks vs. Capitals,11005EDDB6053099,Rogers Arena,2024-03-16,19:00,2024-04-16,0,0,0
Canucks vs. Avalanche,11005D05E88852BC,Rogers Arena,2023-01-05,19:00,2023-05-22,0,0,0
Canucks vs. Blues,11005723A1093175,Rogers Arena,2020-01-27,19:00,2020-02-13,0,0,0
Canucks vs. Lightning,11005723A11C31CD,Rogers Arena,2022-03-11,19:00,2020-03-24,0,0,0
